            slug            |                            name                            |                                                        url                                                        |      lastFetchedAt      | fetchIntervalHours | isActive 
 porezna-eu-promet          | Porezna uprava - Promet s EU                               | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/eu_promet.aspx                                       | 2025-12-21 15:55:25.448 |                 24 | f
 porezna-fiskalizacija      | Porezna uprava - Fiskalizacija                             | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/fiskalizacija.aspx                                   | 2025-12-21 15:55:04.427 |                 24 | f
 porezna-godisnja-prijava   | Porezna uprava - Godišnja porezna prijava                  | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/godisnja_porezna_prijava.aspx                        | 2025-12-21 15:55:59.998 |                 24 | f
 porezna-joppd              | Porezna uprava - JOPPD obrazac                             | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/joppd.aspx                                           | 2025-12-21 15:56:02.132 |                 24 | f
 porezna-kalendar           | Porezna uprava - Porezni kalendar                          | https://www.porezna-uprava.gov.hr/HR_publikacije/Stranice/Porezni_kalendar.aspx                                   | 2025-12-21 15:57:06.441 |                 24 | f
 porezna-misljenja          | Porezna uprava - Mišljenja i upute                         | https://www.porezna-uprava.gov.hr/HR_publikacije/Stranice/Misljenja_Upute.aspx                                    | 2025-12-21 17:29:36.267 |                 24 | t
 porezna-misljenja-su       | Porezna uprava - Mišljenja SU                              | https://porezna-uprava.gov.hr/hr/misljenja-su/3951                                                                | 2025-12-21 17:29:33.99  |                 24 | t
 porezna-obrasci            | Porezna uprava - Obrasci                                   | https://www.porezna-uprava.gov.hr/HR_obrasci/Stranice/Obrasci.aspx                                                | 2025-12-21 15:56:06.467 |                 24 | f
 porezna-osobni-odbitak     | Porezna uprava - Osobni odbitak                            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/osobni_odbitak.aspx                                  | 2025-12-21 15:55:18.247 |                 24 | f
 porezna-pausalno           | Porezna uprava - Paušalno oporezivanje                     | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/pausalno_oporezivanje.aspx                           | 2025-12-21 15:57:08.639 |                 24 | f
 porezna-pausalno-obrtnici  | Porezna uprava - Paušalno oporezivanje obrtnika            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porez_na_dohodak_pausalno_oporezivanje_obrtnika.aspx | 2025-12-21 15:55:32.112 |                 24 | f
 porezna-pdv                | Porezna uprava - Porez na dodanu vrijednost                | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porez_na_dodanu_vrijednost.aspx                      | 2025-12-21 15:54:57.965 |                 24 | f
 porezna-pdv-oslobodjenja   | Porezna uprava - PDV oslobođenja                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/pdv_oslobodjenja.aspx                                | 2025-12-21 15:56:37.896 |                 24 | f
 porezna-pdv-povrat         | Porezna uprava - Povrat PDV-a                              | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/povrat_pdv.aspx                                      | 2025-12-21 15:56:40.055 |                 24 | f
 porezna-pdv-prag           | Porezna uprava - Prag za upis u registar PDV-a             | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/prag_za_upis_u_registar_obveznika_PDV.aspx           | 2025-12-21 15:55:02.26  |                 24 | f
 porezna-pdv-prijava        | Porezna uprava - PDV prijava                               | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/pdv_prijava.aspx                                     | 2025-12-21 15:56:35.753 |                 24 | f
 porezna-pdv-stope          | Porezna uprava - Stope PDV-a                               | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/stope_poreza_na_dodanu_vrijednost.aspx               | 2025-12-21 15:55:00.111 |                 24 | f
 porezna-porez-dobit        | Porezna uprava - Porez na dobit                            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porez_na_dobit.aspx                                  | 2025-12-21 15:55:20.423 |                 24 | f
 porezna-porez-dohodak      | Porezna uprava - Porez na dohodak                          | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porez_na_dohodak.aspx                                | 2025-12-21 15:55:16.058 |                 24 | f
 porezna-porezna-osnovica   | Porezna uprava - Porezna osnovica                          | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porezna_osnovica.aspx                                | 2025-12-21 15:55:55.693 |                 24 | f
 porezna-porezne-kartice    | Porezna uprava - Porezne kartice                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porezne_kartice.aspx                                 | 2025-12-21 15:55:51.391 |                 24 | f
 porezna-posebni-porezi     | Porezna uprava - Posebni porezi                            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/posebni_porezi.aspx                                  | 2025-12-21 15:55:53.534 |                 24 | f
 porezna-predujam           | Porezna uprava - Predujam poreza                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/predujam_poreza.aspx                                 | 2025-12-21 15:55:57.832 |                 24 | f
 porezna-prirez             | Porezna uprava - Prirez porezu na dohodak                  | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/prirez_porezu_na_dohodak.aspx                        | 2025-12-21 15:55:29.978 |                 24 | f
 porezna-rokovi             | Porezna uprava - Rokovi plaćanja                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/rokovi_placanja_poreza.aspx                          | 2025-12-21 15:55:09.141 |                 24 | f
 porezna-tumacenja          | Porezna uprava - Tumačenja propisa                         | https://www.porezna-uprava.gov.hr/HR_publikacije/Stranice/Tumacenja_propisa.aspx                                  | 2025-12-21 15:56:53.464 |                 24 | f
 porezna-vijesti            | Porezna uprava - Vijesti                                   | https://www.porezna-uprava.gov.hr/Stranice/Vijesti.aspx                                                           | 2025-12-21 17:29:12.519 |                 24 | t
 porezna-zatezne-kamate     | Porezna uprava - Zatezne kamate                            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/zatezne_kamate.aspx                                  | 2025-12-21 15:54:45.245 |                 24 | f
(75 rows)

