            slug            |                            name                            |                                                        url                                                        | hierarchy |      lastFetchedAt      
 nn-pravilnik-fiskalizacija | Narodne novine - Pravilnik o fiskalizaciji                 | https://narodne-novine.nn.hr/clanci/sluzbeni/2012_12_146_3131.html                                                |         4 | 2025-12-21 15:56:46.46
 nn-pravilnik-dohodak       | Narodne novine - Pravilnik o porezu na dohodak             | https://narodne-novine.nn.hr/clanci/sluzbeni/2017_01_10_247.html                                                  |         4 | 2025-12-21 15:56:44.253
 nn-sitemap                 | Narodne novine - Sitemap                                   | https://narodne-novine.nn.hr/sitemap.xml                                                                          |         2 | 2025-12-21 17:29:19.195
 narodne-novine-doprinosi   | Narodne novine - Zakon o doprinosima                       | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_106_2088.html                                                |         2 | 2025-12-21 15:55:27.63
 nn-zakon-fiskalizacija     | Narodne novine - Zakon o fiskalizaciji u prometu gotovinom | https://narodne-novine.nn.hr/clanci/sluzbeni/2012_12_133_2833.html                                                |         2 | 2025-12-21 15:55:36.313
 nn-zakon-mirovinsko        | Narodne novine - Zakon o mirovinskom osiguranju            | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_115_2262.html                                                |         2 | 2025-12-21 15:55:46.599
 nn-zakon-obrtu             | Narodne novine - Zakon o obrtu                             | https://narodne-novine.nn.hr/clanci/sluzbeni/2013_12_143_3065.html                                                |         2 | 2025-12-21 15:55:42.178
 nn-zakon-zdravstveno       | Narodne novine - Zakon o obveznom zdravstvenom osiguranju  | https://narodne-novine.nn.hr/clanci/sluzbeni/2013_06_80_1669.html                                                 |         2 | 2025-12-21 15:55:48.996
 nn-zakon-pdv               | Narodne novine - Zakon o porezu na dodanu vrijednost       | https://narodne-novine.nn.hr/clanci/sluzbeni/2012_07_73_1715.html                                                 |         2 | 2025-12-21 15:55:34.25
 narodne-novine-pausalni    | Narodne novine - Zakon o porezu na dohodak                 | https://narodne-novine.nn.hr/clanci/sluzbeni/2016_12_115_2519.html                                                |         2 | 2025-12-21 15:54:48.311
 nn-zakon-racunovodstvo     | Narodne novine - Zakon o računovodstvu                     | https://narodne-novine.nn.hr/clanci/sluzbeni/2015_07_78_1493.html                                                 |         2 | 2025-12-21 15:55:39.631
 porezna-fiskalizacija      | Porezna uprava - Fiskalizacija                             | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/fiskalizacija.aspx                                   |         5 | 2025-12-21 15:55:04.427
 porezna-godisnja-prijava   | Porezna uprava - Godišnja porezna prijava                  | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/godisnja_porezna_prijava.aspx                        |         5 | 2025-12-21 15:55:59.998
 porezna-joppd              | Porezna uprava - JOPPD obrazac                             | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/joppd.aspx                                           |         5 | 2025-12-21 15:56:02.132
 porezna-misljenja-su       | Porezna uprava - Mišljenja SU                              | https://porezna-uprava.gov.hr/hr/misljenja-su/3951                                                                |         5 | 2025-12-21 17:29:33.99
 porezna-misljenja          | Porezna uprava - Mišljenja i upute                         | https://www.porezna-uprava.gov.hr/HR_publikacije/Stranice/Misljenja_Upute.aspx                                    |         6 | 2025-12-21 17:29:36.267
 porezna-obrasci            | Porezna uprava - Obrasci                                   | https://www.porezna-uprava.gov.hr/HR_obrasci/Stranice/Obrasci.aspx                                                |         5 | 2025-12-21 15:56:06.467
 porezna-osobni-odbitak     | Porezna uprava - Osobni odbitak                            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/osobni_odbitak.aspx                                  |         5 | 2025-12-21 15:55:18.247
 porezna-pdv-oslobodjenja   | Porezna uprava - PDV oslobođenja                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/pdv_oslobodjenja.aspx                                |         5 | 2025-12-21 15:56:37.896
 porezna-pdv-prijava        | Porezna uprava - PDV prijava                               | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/pdv_prijava.aspx                                     |         5 | 2025-12-21 15:56:35.753
 porezna-pausalno           | Porezna uprava - Paušalno oporezivanje                     | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/pausalno_oporezivanje.aspx                           |         5 | 2025-12-21 15:57:08.639
 porezna-pausalno-obrtnici  | Porezna uprava - Paušalno oporezivanje obrtnika            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porez_na_dohodak_pausalno_oporezivanje_obrtnika.aspx |         5 | 2025-12-21 15:55:32.112
 porezna-porez-dobit        | Porezna uprava - Porez na dobit                            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porez_na_dobit.aspx                                  |         5 | 2025-12-21 15:55:20.423
 porezna-pdv                | Porezna uprava - Porez na dodanu vrijednost                | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porez_na_dodanu_vrijednost.aspx                      |         5 | 2025-12-21 15:54:57.965
 porezna-porez-dohodak      | Porezna uprava - Porez na dohodak                          | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porez_na_dohodak.aspx                                |         5 | 2025-12-21 15:55:16.058
 porezna-porezna-osnovica   | Porezna uprava - Porezna osnovica                          | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porezna_osnovica.aspx                                |         5 | 2025-12-21 15:55:55.693
 porezna-porezne-kartice    | Porezna uprava - Porezne kartice                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/porezne_kartice.aspx                                 |         5 | 2025-12-21 15:55:51.391
 porezna-kalendar           | Porezna uprava - Porezni kalendar                          | https://www.porezna-uprava.gov.hr/HR_publikacije/Stranice/Porezni_kalendar.aspx                                   |         5 | 2025-12-21 15:57:06.441
 porezna-posebni-porezi     | Porezna uprava - Posebni porezi                            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/posebni_porezi.aspx                                  |         5 | 2025-12-21 15:55:53.534
 porezna-pdv-povrat         | Porezna uprava - Povrat PDV-a                              | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/povrat_pdv.aspx                                      |         5 | 2025-12-21 15:56:40.055
 porezna-pdv-prag           | Porezna uprava - Prag za upis u registar PDV-a             | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/prag_za_upis_u_registar_obveznika_PDV.aspx           |         5 | 2025-12-21 15:55:02.26
 porezna-predujam           | Porezna uprava - Predujam poreza                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/predujam_poreza.aspx                                 |         5 | 2025-12-21 15:55:57.832
 porezna-prirez             | Porezna uprava - Prirez porezu na dohodak                  | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/prirez_porezu_na_dohodak.aspx                        |         5 | 2025-12-21 15:55:29.978
 porezna-eu-promet          | Porezna uprava - Promet s EU                               | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/eu_promet.aspx                                       |         5 | 2025-12-21 15:55:25.448
 porezna-rokovi             | Porezna uprava - Rokovi plaćanja                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/rokovi_placanja_poreza.aspx                          |         5 | 2025-12-21 15:55:09.141
 porezna-pdv-stope          | Porezna uprava - Stope PDV-a                               | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/stope_poreza_na_dodanu_vrijednost.aspx               |         5 | 2025-12-21 15:55:00.111
 porezna-doprinosi-stope    | Porezna uprava - Stope doprinosa                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/doprinosi.aspx                                       |         5 | 2025-12-21 15:54:55.825
 porezna-tumacenja          | Porezna uprava - Tumačenja propisa                         | https://www.porezna-uprava.gov.hr/HR_publikacije/Stranice/Tumacenja_propisa.aspx                                  |         6 | 2025-12-21 15:56:53.464
 porezna-vijesti            | Porezna uprava - Vijesti                                   | https://www.porezna-uprava.gov.hr/Stranice/Vijesti.aspx                                                           |         5 | 2025-12-21 17:29:12.519
 porezna-zatezne-kamate     | Porezna uprava - Zatezne kamate                            | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/zatezne_kamate.aspx                                  |         5 | 2025-12-21 15:54:45.245
 porezna-eporezna           | Porezna uprava - ePorezna                                  | https://www.porezna-uprava.gov.hr/Stranice/ePorezna.aspx                                                          |         5 | 2025-12-21 15:56:04.277
(75 rows)

